,OBJID,RA_PSEUDOHOST,DEC_PSEUDOHOST,Z,ZERR,ZWARN,DELTACHI2,SPECTYPE
0,T202104061414596p021612,213.74890308,2.27030717,0.294072099079655,5.79524712945951e-05,0,228.904909282923,GALAXY
1,T202105301405547p043407,211.47344252,4.56895374,,,,,
2,T202104091407441p002208,211.9323432,0.36818528,,,,,
3,A202103221409059m023156,212.2745328,-2.53253108,,,,,
4,T202105241209144p010706,182.31007147,1.11852796,,,,,
5,T202105031422035p013900,215.51531414,1.65004438,,,,,
6,A202104121444394p003321,221.16412343,0.55592033,,,,,
7,A202106021427485m033040,216.95232856,-3.51109295,,,,,
8,T202104251422420m032332,215.67540275,-3.39263995,,,,,
9,A202104181450313m033255,222.63066083,-3.54889888,2.19520742536369,0.000413340842409899,0,175.364685691893,QSO
10,A202105241157379p015724,179.40824475,1.95677486,0.634059422177442,4.95944537169272e-05,0,921.639005452394,QSO
11,T202103221422063m031255,215.52565251,-3.21706643,0.0994420978149078,3.30806837381162e-06,0,9776.30166721344,GALAXY
12,A202105271158344m000731,179.64352724,-0.12543445,1.01629712656174,0.000155428356940764,0,40.6549977138638,QSO
13,A202104151452487m020424,223.20304976,-2.07354292,2.30583376519181,0.000283222700036366,0,666.673422250897,QSO
14,A202105181424187p015251,216.0782162,1.88074256,,,,,
15,A202104061430425p031713,217.67697705,3.28692043,0.599350208320188,3.35727428881661e-05,0,1469.47657209635,GALAXY
16,T202105031441256p023213,220.35668596,2.53705833,0.135683034095395,3.86790657234767e-05,0,1021.15145167243,GALAXY
17,T202104061429442p000452,217.43415159,0.08129192,0.0546859936664482,3.4816797869445e-06,0,4626.24429100752,GALAXY
18,A202103221425535p014857,216.47280087,1.81624373,,,,,
19,A202104151443076m002639,220.78182878,-0.44430949,0.271324351812074,4.49850233332413e-05,0,643.415951292962,QSO
20,A202104181444505m015839,221.21058883,-1.97790662,0.28360285572201,6.2938005232408e-05,0,447.490268401802,GALAXY
21,T202103221433335p003357,218.38901745,0.56392316,,,,,
22,A202105301444085p011846,221.0352919,1.31270137,,,,,
23,T202105151423088p020125,215.7879162,2.02358354,0.309577586669175,5.63392846462268e-05,0,434.319185622036,GALAXY
24,A202103221416444m013014,214.1851568,-1.50402046,0.145855756676861,1.72413710739062e-05,0,3733.92640852928,QSO
25,A202105301428199p020404,217.08296864,2.06790543,0.603387074119978,8.0163651624584e-05,0,759.908312357962,GALAXY
26,A202105151448594p022334,222.2477197,2.39297918,,,,,
27,A202105241217075p003437,184.28152006,0.57689897,0.244453718118145,4.86268699175787e-05,0,604.583362120204,GALAXY
28,A202105271202386m003059,180.66086254,-0.51656917,0.408597601674096,1.98287169821311e-05,0,8351.58121567965,QSO
29,T202105061438289m005802,219.62058355,-0.96673694,0.267288723828617,2.32014648809779e-05,0,479.700233384967,GALAXY
30,A202104061428379p000228,217.15801444,0.04103529,,,,,
31,T202105061400004p055251,210.00134176,5.88057139,,,,,
32,A202104091409269p013212,212.36237851,1.53682398,,,,,
33,T202104121437037m024922,219.26435643,-2.8263395,,,,,
34,T202103221428086p020737,217.03643418,2.12595047,0.130282287290939,2.08574547839508e-05,0,2811.41427532956,GALAXY
35,A202104121408547m020131,212.22807613,-2.02536599,,,,,
36,A202103221448353m005406,222.14698827,-0.9018785,,,,,
37,T202105151432383p020947,218.16021836,2.16320072,,,,,
38,T202104061422346p005521,215.6449709,0.92173269,0.149651709350542,4.16899538026707e-06,0,2462.44714975357,GALAXY
39,A202104121441090p000144,220.28749692,0.02893308,0.483567916980765,7.18834803102811e-05,0,38.0526889273897,GALAXY
40,T202105151444107p011555,221.0414807,1.26702991,,,,,
41,T202104091439394p010221,219.91456026,1.03942447,,,,,
42,T202104091414497m020257,213.70870479,-2.04664431,,,,,
43,A202104121409174p012921,212.32267923,1.48943707,,,,,
44,A202105271214065p002822,183.52718041,0.47281629,0.412505843347311,8.35273948493323e-05,0,190.001301882789,GALAXY
45,A202103221409405p003222,212.41902917,0.53958112,,,,,
46,T202104061438488m031552,219.70327398,-3.26469107,0.20884721176416,3.88001362093751e-06,0,3835.8478064537,GALAXY
47,A202105241211168p003715,182.82005947,0.62088704,0.35867479302467,9.00590481936904e-06,0,8093.61871218681,GALAXY
48,A202104061422325m025105,215.63562517,-2.85161022,,,,,
49,A202105031431257m034621,217.85741286,-3.77238247,,,,,
50,T202103221424440m020040,216.18469966,-2.01111314,0.175174427600185,2.85837707921127e-05,0,1096.28955279477,GALAXY
51,T202105271216058m010626,184.02513816,-1.10731691,0.157889141840839,1.08397773980192e-05,0,1483.79852989316,GALAXY
52,A202105121434352m033755,218.64665524,-3.63185056,,,,,
